id,Date,Close,Volume,Open,High,Low
10,6/28/21,$87.08 ,30262040,$86.38 ,$88 ,$86.15 
10,6/25/21,$85.62 ,27804540,$86.34 ,$86.36 ,$85.10 
10,6/24/21,$86.10 ,42217670,$84.39 ,$87.14 ,$84.37 
10,6/23/21,$83.82 ,25992440,$83.83 ,$84.49 ,$83.16 
10,6/22/21,$83.58 ,32107700,$82.90 ,$84.04 ,$82.48 
10,6/21/21,$82.59 ,44417110,$83.49 ,$84.19 ,$82.21 
10,6/18/21,$84.65 ,58736810,$84.28 ,$85.77 ,$83.48 
10,6/17/21,$84.56 ,77822820,$80.77 ,$85.37 ,$80.57 
10,6/16/21,$80.11 ,29598310,$80.75 ,$81.45 ,$78.96 
10,6/15/21,$80.47 ,26194340,$81.59 ,$81.68 ,$80.23 
10,6/14/21,$81.55 ,27830240,$81.51 ,$81.55 ,$80.20 
10,6/11/21,$81.31 ,24310890,$81.61 ,$82.33 ,$80.70 
10,6/10/21,$81.56 ,28606360,$80.02 ,$81.71 ,$79.70 
10,6/9/21,$79.96 ,28454650,$81.09 ,$81.68 ,$79.80 
10,6/8/21,$80.89 ,26956630,$81.87 ,$82.65 ,$80.45 
10,6/7/21,$81.35 ,29006780,$81.40 ,$81.68 ,$80.38 
10,6/4/21,$81.58 ,26387800,$80.92 ,$82.19 ,$80.81 
10,6/3/21,$80.28 ,29811970,$81.13 ,$81.89 ,$80.26 
10,6/2/21,$81.97 ,35203220,$81 ,$82.60 ,$80.66 
10,6/1/21,$80.81 ,43433040,$81.01 ,$82.91 ,$80.66 
10,5/28/21,$80.08 ,40952660,$78.66 ,$81.09 ,$78.66 
10,5/27/21,$78.42 ,35883220,$78.11 ,$78.43 ,$77.47 
10,5/26/21,$78.34 ,30354000,$77.83 ,$78.59 ,$77.59 
10,5/25/21,$77.86 ,47353100,$77.33 ,$78.77 ,$76.84 
10,5/24/21,$77.44 ,33194290,$77.26 ,$78.01 ,$76.80 
10,5/21/21,$77.17 ,40201090,$78.55 ,$78.81 ,$77.04 
10,5/20/21,$78.06 ,49135010,$76.81 ,$78.27 ,$76.25 
10,5/19/21,$76.23 ,73966160,$73.16 ,$76.97 ,$72.76 
