id ,Date,Close/Last,Volume,Open,High,Low
8,6/28/21,$18.93 ,12675510,$18.29 ,$19.44 ,$18.27 
8,6/25/21,$18.10 ,33918780,$18.19 ,$18.62 ,$17.83 
8,6/24/21,$18.24 ,10990430,$18.25 ,$18.93 ,$17.90 
8,6/23/21,$18.06 ,16354860,$17.75 ,$18.70 ,$17.56 
8,6/22/21,$17.32 ,10929020,$15.78 ,$17.46 ,$15.78 
8,6/21/21,$16.14 ,7893802,$16.44 ,$16.50 ,$15.59 
8,6/18/21,$16.51 ,8362835,$16.81 ,$17.15 ,$16.25 
8,6/17/21,$17.01 ,12257850,$16.08 ,$17.17 ,$16.02 
8,6/16/21,$15.76 ,7876382,$15.75 ,$16.19 ,$15.46 
8,6/15/21,$15.60 ,14806330,$17.18 ,$17.24 ,$15.42 
8,6/14/21,$17.21 ,7803573,$17.12 ,$17.78 ,$16.83 
8,6/11/21,$17.55 ,8240352,$16.92 ,$17.75 ,$16.72 
8,6/10/21,$16.80 ,8929816,$17.49 ,$17.78 ,$16.72 
8,6/9/21,$17.49 ,14182390,$18.37 ,$18.79 ,$17.06 
8,6/8/21,$18.55 ,18904610,$17.93 ,$19.13 ,$17.80 
8,6/7/21,$17.65 ,10622970,$17.05 ,$18.14 ,$16.58 
8,6/4/21,$16.99 ,8231546,$17.18 ,$17.35 ,$16.55 
8,6/3/21,$16.88 ,20965370,$17.93 ,$19.52 ,$16.76 
8,6/2/21,$18.34 ,29269560,$15.62 ,$18.40 ,$15.46 
8,6/1/21,$15.44 ,7926835,$15.39 ,$15.70 ,$14.85 
8,5/28/21,$14.96 ,18517590,$15.06 ,$16.21 ,$14.70 
8,5/27/21,$15.49 ,26378160,$12.86 ,$15.56 ,$12.86 
8,5/26/21,$13 ,8640015,$12.41 ,$13.05 ,$12.30 
8,5/25/21,$12.32 ,7495008,$12.04 ,$12.50 ,$11.86 
8,5/24/21,$12.10 ,7622754,$12.05 ,$12.32 ,$11.82 
8,5/21/21,$11.98 ,11999330,$12.82 ,$12.93 ,$11.97 
8,5/20/21,$12.77 ,10003020,$13.08 ,$13.09 ,$12.42 
8,5/19/21,$12.90 ,13377340,$13.20 ,$13.41 ,$12.67 
8,5/18/21,$13.75 ,16137990,$13.35 ,$14.15 ,$13.07 
8,5/17/21,$12.96 ,16076080,$12.23 ,$13.46 ,$12.16 
8,5/14/21,$12.12 ,11366420,$12 ,$12.68 ,$11.57 
8,5/13/21,$11.88 ,12151060,$12.50 ,$12.78 ,$11.53 
8,5/12/21,$12.57 ,14788390,$11.62 ,$12.65 ,$11.28 
8,5/11/21,$11.83 ,11828140,$10.67 ,$11.94 ,$10.55 
8,5/10/21,$11.26 ,9950575,$11.55 ,$11.71 ,$10.90 
8,5/7/21,$11.50 ,19111680,$10.24 ,$11.62 ,$10.20 
8,5/6/21,$10.14 ,15909150,$11.10 ,$11.24 ,$9.91 
8,5/5/21,$10.42 ,6586614,$11.00 ,$11.00 ,$10.33 
8,5/4/21,$10.81 ,7381563,$10.79 ,$10.89 ,$10.37 
8,5/3/21,$11 ,8575730,$11.69 ,$11.71 ,$10.97 
8,4/30/21,$11.57 ,10002810,$11.65 ,$12.15 ,$11.55 
8,4/29/21,$11.88 ,9650097,$12.25 ,$12.45 ,$11.68 
8,4/28/21,$12.12 ,10400900,$12.34 ,$12.55 ,$12.08 
8,4/27/21,$12.33 ,14026310,$12.55 ,$12.90 ,$12.16 
8,4/26/21,$12.35 ,21367700,$11.55 ,$12.56 ,$11.29 
8,4/23/21,$11.55 ,29616830,$12.34 ,$12.68 ,$11.34 
8,4/22/21,$11.77 ,82880950,$10.99 ,$12.79 ,$10.30 
8,4/21/21,$10.29 ,15497290,$9.65 ,$10.54 ,$9.37 
8,4/20/21,$9.65 ,17294740,$10.04 ,$10.35 ,$9.57 
8,4/19/21,$10.29 ,13412550,$10.90 ,$10.93 ,$10.20 
8,4/16/21,$10.98 ,13254080,$10.61 ,$11.05 ,$10.37 
8,4/15/21,$10.63 ,23472450,$11.88 ,$11.91 ,$10.61 
8,4/14/21,$11.75 ,12941270,$12.60 ,$12.60 ,$11.70 
8,4/13/21,$12.05 ,11966940,$11.67 ,$12.18 ,$11.55 
8,4/12/21,$11.84 ,14544730,$12.73 ,$12.74 ,$11.63 
8,4/9/21,$12.80 ,7849832,$12.70 ,$12.86 ,$12.44 
8,4/8/21,$12.71 ,12178950,$12.70 ,$13.04 ,$12.35 
8,4/7/21,$12.29 ,19645560,$13.19 ,$13.64 ,$12.21 
8,4/6/21,$13.22 ,13068140,$13 ,$13.36 ,$12.62 
8,4/5/21,$12.83 ,22475060,$14.02 ,$14.06 ,$12.74 
8,4/1/21,$13.91 ,14084620,$14.23 ,$14.75 ,$13.75 
8,3/31/21,$13.89 ,11987700,$14.14 ,$14.46 ,$13.83 
8,3/30/21,$14.04 ,9120624,$13.76 ,$14.06 ,$13.23 
8,3/29/21,$13.79 ,8411866,$14.23 ,$14.24 ,$13.65 
8,3/26/21,$14.15 ,9522426,$14.62 ,$14.89 ,$13.61 
8,3/25/21,$14.20 ,14218640,$13.66 ,$14.29 ,$13.18 
8,3/24/21,$14.06 ,10692280,$15.20 ,$15.20 ,$14.05 
8,3/23/21,$15 ,8628799,$15.61 ,$15.80 ,$14.84 
8,3/22/21,$15.55 ,9991354,$15.67 ,$16.36 ,$15.50 
8,3/19/21,$15.42 ,10274260,$15.04 ,$15.50 ,$14.70 
8,3/18/21,$14.78 ,18762970,$15.76 ,$15.85 ,$14.72 
8,3/17/21,$16.39 ,8664859,$15.68 ,$16.49 ,$15.35 
8,3/16/21,$15.85 ,14369870,$16.36 ,$16.39 ,$15.60 
8,3/15/21,$17.06 ,8221070,$17.07 ,$17.37 ,$16.56 
8,3/12/21,$17.02 ,6753916,$16.51 ,$17.06 ,$16.26 
8,3/11/21,$17.10 ,10678130,$16.41 ,$17.19 ,$16.11 
8,3/10/21,$16 ,11132010,$16.46 ,$16.53 ,$15.58 
8,3/9/21,$15.85 ,11597040,$15.35 ,$16.17 ,$15.08 
8,3/8/21,$14.62 ,11866350,$15.15 ,$15.68 ,$14.50 
8,3/5/21,$14.90 ,18922510,$16.17 ,$16.18 ,$14.05 
8,3/4/21,$16.03 ,15462610,$16.45 ,$16.87 ,$15.28 
8,3/3/21,$16.54 ,14047490,$18.03 ,$18.26 ,$16.52 
8,3/2/21,$17.89 ,9813590,$18.47 ,$18.96 ,$17.86 
8,3/1/21,$18.12 ,10319600,$18.52 ,$18.92 ,$18.10 
8,2/26/21,$18.10 ,15403400,$19.49 ,$19.56 ,$17.80 
8,2/25/21,$19.72 ,8679794,$21.13 ,$21.40 ,$19.50 
8,2/24/21,$21.16 ,6269371,$19.93 ,$21.17 ,$19.75 
8,2/23/21,$19.69 ,9937376,$19.96 ,$20 ,$18.09 
8,2/22/21,$20.92 ,5995940,$21.04 ,$22.04 ,$20.81 
8,2/19/21,$21.36 ,6196568,$20.56 ,$21.58 ,$20.41 
8,2/18/21,$20.36 ,7672909,$20.95 ,$21.45 ,$20.22 
8,2/17/21,$21.72 ,7738698,$21.72 ,$21.80 ,$20.80 
8,2/16/21,$21.94 ,8671707,$22.06 ,$23.08 ,$21.85 
8,2/12/21,$21.83 ,7128576,$22.30 ,$22.36 ,$21.62 
8,2/11/21,$22.62 ,7165746,$23.06 ,$23.44 ,$22.06 
8,2/10/21,$22.97 ,9963846,$22.77 ,$24.14 ,$22.43 
8,2/9/21,$22.90 ,13070640,$23.12 ,$23.32 ,$22.26 
8,2/8/21,$23.50 ,7951427,$23.51 ,$23.98 ,$23.17 
8,2/5/21,$23.60 ,8481306,$24.75 ,$24.92 ,$23 
8,2/4/21,$24.42 ,8250657,$24.46 ,$25.23 ,$23.82 
8,2/3/21,$24.43 ,12034580,$23.09 ,$24.98 ,$23.01 
8,2/2/21,$23 ,8487211,$23.74 ,$23.97 ,$22.56 
8,2/1/21,$23.51 ,13861860,$24.05 ,$24.40 ,$22.12 
8,1/29/21,$23.09 ,14010830,$24.75 ,$24.83 ,$22.80 
8,1/28/21,$23.18 ,27203210,$27.25 ,$28.34 ,$22.70 
8,1/27/21,$28.58 ,42130310,$25.05 ,$30.40 ,$24.65 
8,1/26/21,$25.64 ,51896100,$21.14 ,$26.03 ,$21.14 
8,1/25/21,$20.74 ,20539080,$20.47 ,$22.55 ,$20.06 
8,1/22/21,$20.12 ,7461419,$19.71 ,$20.48 ,$19.54 
8,1/21/21,$19.94 ,8919586,$19.44 ,$20.26 ,$19.24 
8,1/20/21,$19.51 ,15335050,$20.39 ,$20.68 ,$18.76 
8,1/19/21,$20.29 ,12796250,$20.04 ,$20.78 ,$19.72 
8,1/15/21,$19.74 ,15385230,$20.80 ,$21.45 ,$19.60 
8,1/14/21,$21.31 ,22353730,$20.37 ,$21.92 ,$19.57 
8,1/13/21,$20.05 ,61262150,$19.33 ,$22.63 ,$19.04 
8,1/12/21,$18.72 ,16586990,$17.22 ,$18.76 ,$17.21 
8,1/11/21,$17.08 ,10799300,$17.38 ,$17.53 ,$16.85 
8,1/8/21,$17.75 ,17800300,$18.80 ,$18.84 ,$17.61 
8,1/7/21,$17.82 ,19816410,$16.90 ,$17.88 ,$16.71 
8,1/6/21,$16.20 ,11702640,$16.20 ,$16.90 ,$16.03 
8,1/5/21,$16.03 ,7925937,$15.86 ,$16.25 ,$15.61 
8,1/4/21,$16.08 ,11313400,$15.50 ,$16.17 ,$15 
8,12/31/20,$15.26 ,14068050,$15.80 ,$15.83 ,$15 
8,12/30/20,$15.98 ,13749140,$16.21 ,$16.30 ,$15.53 
8,12/29/20,$16.13 ,26139170,$16.71 ,$17.13 ,$15.52 
8,12/28/20,$16.41 ,44320520,$13.83 ,$16.55 ,$13.75 
8,12/24/20,$13.75 ,25430430,$15.18 ,$15.20 ,$13.51 
8,12/23/20,$15.03 ,31160120,$15.55 ,$15.60 ,$15 
8,12/22/20,$16.83 ,8950700,$16.70 ,$16.89 ,$16.32 
8,12/21/20,$17.02 ,10156930,$16.50 ,$17.05 ,$16.42 
8,12/18/20,$17.08 ,8818766,$17.17 ,$17.21 ,$16.78 
8,12/17/20,$17.22 ,8260291,$17.25 ,$17.30 ,$16.72 
8,12/16/20,$17 ,14428470,$16.92 ,$17.43 ,$16.37 
8,12/15/20,$16.48 ,17976450,$16.71 ,$16.88 ,$16.01 
8,12/14/20,$16.41 ,19564120,$17.79 ,$17.83 ,$16.37 
8,12/11/20,$17.62 ,14935860,$18.10 ,$18.34 ,$17.36 
8,12/10/20,$18.57 ,10620360,$17.95 ,$18.59 ,$17.75 
