Date,Close/Last,Volume,Open,High,Low
06/28/2021,$49.4,90202840,$45.72,$49.65,$45.5501
06/25/2021,$45.07,32605430,$45.78,$45.94,$44.88
06/24/2021,$45.46,37680660,$45.91,$46.59,$45.24
06/23/2021,$45.41,39493500,$44.97,$45.98,$44.61
06/22/2021,$44.1,61387320,$45.86,$46.5474,$43.81
06/21/2021,$46.51,44475670,$46.55,$46.99,$45.07
06/18/2021,$46.91,90778430,$47.68,$48.365,$46.59
06/17/2021,$47.36,64895520,$45.05,$47.755,$44.86
06/16/2021,$45.02,47381520,$44.23,$45.125,$43.77
06/15/2021,$45.15,44755620,$46.21,$46.38,$45.04
06/14/2021,$46.55,65288400,$45.95,$47.25,$45.58
06/11/2021,$45.68,85733890,$42.93,$46.26,$42.76
06/10/2021,$42.76,34757320,$42.67,$43.43,$42.16
06/09/2021,$42.74,36363970,$43.53,$44.44,$42.73
06/08/2021,$43.56,50332250,$44.46,$44.89,$42.82
06/07/2021,$43.68,53261320,$41.67,$43.9,$41.44
06/04/2021,$41.94,40993650,$41.43,$42.325,$41.15
06/03/2021,$40.9,62437180,$40.68,$42.37,$40.31
06/02/2021,$41.16,66383530,$42.15,$42.88,$40.95
06/01/2021,$42.34,101544100,$39.99,$42.44,$39.94
05/28/2021,$38.62,58235960,$38.745,$39.76,$38.1737
05/27/2021,$38.91,53064380,$37.95,$38.98,$37.182
05/26/2021,$37.76,55928960,$36.25,$38.08,$36.0734
05/25/2021,$36.07,76628030,$36.32,$37.64,$35.69
05/24/2021,$35.89,67244430,$34.26,$36.49,$33.56
05/21/2021,$34.06,49568790,$34.66,$34.78,$33.87
05/20/2021,$34.33,48991740,$33.98,$34.51,$33.64
05/19/2021,$33.46,68799780,$32.98,$33.46,$32.5914
05/18/2021,$34.19,64929530,$34.01,$34.78,$33.2604
05/17/2021,$33.81,63862660,$33.33,$34.16,$32.82
05/14/2021,$33.42,80214310,$31.94,$33.6894,$31.5609
05/13/2021,$31.22,113686700,$33.85,$34.27,$30.71
05/12/2021,$33.68,75993700,$34.38,$35.125,$33.48
05/11/2021,$34.87,113418900,$32.45,$35.46,$32.2
05/10/2021,$34.33,92293920,$36.78,$36.79,$34.3
05/07/2021,$36.94,55551680,$37.17,$38.04,$36.62
05/06/2021,$36.68,71655970,$37.49,$38.04,$35.77
05/05/2021,$37.71,24239080,$38.34,$38.55,$37.34
05/04/2021,$37.93,78256840,$38.99,$39.32,$36.92
05/03/2021,$39.54,80089610,$40.34,$41.45,$39.31
04/30/2021,$39.84,116728700,$37.73,$41.22,$37.35
04/29/2021,$38.99,82660720,$41.38,$41.49,$38.73
04/28/2021,$41.19,57639580,$40.74,$41.95,$40.44
04/27/2021,$41.21,69998800,$43.02,$43.13,$41.02
04/26/2021,$42.62,88233500,$41.96,$43.22,$40.86
04/23/2021,$41.08,70578020,$40.2,$41.2,$39.54
04/22/2021,$39.57,115802700,$38.99,$40.45,$38.49
04/21/2021,$38.9,77449230,$36.53,$38.96,$36.16
04/20/2021,$36.93,71208640,$37.17,$37.8195,$35.94
04/19/2021,$36.78,92190700,$36.78,$37.54,$35.36
04/16/2021,$36.09,84477370,$34.69,$36.54,$34.06
04/15/2021,$35.66,100437400,$37.02,$37.059,$34.56
04/14/2021,$37.02,78453960,$39.23,$39.33,$36.79
04/13/2021,$38.48,62005710,$37.48,$38.66,$37.33
04/12/2021,$37.14,53428090,$37.96,$38,$36.76
04/09/2021,$38.12,69272700,$38.355,$38.36,$37.01
04/08/2021,$38.7,63691970,$37.62,$39.1809,$37.47
04/07/2021,$37.27,80022790,$39.7,$39.85,$36.95
04/06/2021,$40,67969400,$38.83,$40.39,$38.42
04/05/2021,$39.31,71418400,$40.54,$40.65,$38.72
04/01/2021,$39.66,116305500,$41.56,$42.06,$39.25
03/31/2021,$38.98,98298410,$38.96,$39.25,$37.45
03/30/2021,$37.55,106153500,$35.2,$37.96,$34.61
03/29/2021,$35.51,83188210,$35.26,$36.84,$34.5
03/26/2021,$36.13,163039700,$35.65,$36.65,$34
03/25/2021,$37.94,118082000,$35.24,$39.19,$35.12
