date,open,high,low,close
2021-06-28,133.41,135.25,133.39,134.78
2021-06-25,133.46,133.89,132.81,133.11
2021-06-24,134.45,134.64,132.93,133.41
2021-06-23,133.77,134.32,133.23,133.7
2021-06-22,132.13,134.08,131.62,133.98
2021-06-21,130.3,132.41,129.21,132.3
2021-06-18,130.71,131.51,130.25,130.46
2021-06-17,129.8,132.55,129.65,131.79
2021-06-16,130.37,130.89,128.46,130.15
2021-06-15,129.94,130.59,129.39,129.64
2021-06-14,127.82,130.49,127.07,130.48
2021-06-11,126.53,127.44,126.1,127.35
2021-06-10,127.02,128.19,125.94,126.11
2021-06-09,127.21,127.75,126.52,127.13
2021-06-08,126.6,128.46,126.21,126.74
2021-06-07,126.17,126.31,124.83,125.9
2021-06-04,124.07,126.16,123.85,125.89
2021-06-03,124.68,124.85,123.13,123.54
2021-06-02,124.28,125.24,124.05,125.06
2021-06-01,125.08,125.35,123.95,124.28
2021-05-28,125.57,125.8,124.55,124.61
2021-05-27,126.44,127.64,125.08,125.28
2021-05-26,126.96,127.39,126.42,126.85
2021-05-25,127.82,128.32,126.32,126.9
2021-05-24,126.01,127.94,125.94,127.1
2021-05-21,127.82,128.0,125.21,125.43
2021-05-20,125.23,127.72,125.1,127.31
2021-05-19,123.16,124.92,122.88,124.69
2021-05-18,126.56,126.99,124.78,124.85
2021-05-17,126.82,126.92,125.17,126.27
2021-05-14,126.25,127.89,125.85,127.45
2021-05-13,124.58,126.15,124.26,124.97
2021-05-12,123.4,124.64,122.25,122.77
2021-05-11,123.5,126.27,122.77,125.91
2021-05-10,129.41,129.54,126.81,126.85
2021-05-07,130.85,131.26,129.48,130.21
2021-05-06,127.89,129.75,127.13,129.74
2021-05-05,129.2,130.45,127.97,128.1
2021-05-04,131.19,131.49,126.7,127.85
2021-05-03,132.04,134.07,131.83,132.54
2021-04-30,131.78,133.56,131.07,131.46
2021-04-29,136.47,137.07,132.45,133.48
2021-04-28,134.31,135.02,133.08,133.58
2021-04-27,135.01,135.41,134.11,134.39
2021-04-26,134.83,135.06,133.56,134.72
2021-04-23,132.16,135.12,132.16,134.32
2021-04-22,133.04,134.15,131.41,131.94
2021-04-21,132.36,133.75,131.3,133.5
2021-04-20,135.02,135.53,131.81,133.11
2021-04-19,133.51,135.47,133.34,134.84
2021-04-16,134.3,134.67,133.28,134.16
2021-04-15,133.82,135.0,133.64,134.5
2021-04-14,134.940002,135.0,131.660004,132.029999
2021-04-13,132.440002,134.660004,131.929993,134.429993
2021-04-12,132.520004,132.850006,130.630005,131.240005
